Id,subproject,phs_id,project_num,radx_id,tier
aptamer_sequence,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_aptamer_concentration,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_protein_strain,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_protein_part,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_protein_origin,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_time,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_binding,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
BLI_fit,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_type,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_sample_ID,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_protein_concentration,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_virus_concentration,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_intensity_background,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_intensity_control,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_intensity_test,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
detection_ELISA_RLU,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
SELEX_round_number,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
SELEX_rank,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
SELEX_read_count,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
SELEX_sequence,Automatic Detection & Tracing,phs002565.v1.p1,1U01AA029316-01,rad_014_316-01,tier3
protocol_id,Automatic Detection & Tracing,phs002543.v1.p1,1U01AA029324-01,rad_014_324-01,tier2
